CustomerID,Gender,Age,Location,MembershipPeriod,PreferredCategory,VisitFrequency,AvgSessionTime,PagesViewed,PurchaseFrequency,AvgOrderValue,TotalSpent,LastPurchaseDaysAgo,DiscountUsed,CustomerSatisfaction,ReturnCount,ComplaintHistory,AppUsage,CartAbandonRate,CLV,ChurnRisk
C0001,Male,57,Hyderabad,55,Fashion,12,42.44,5,12.04,7974.43,104953.28,168,0,5,6,0,High,0.42,530676.26,0
C0002,Female,24,Mumbai,40,Beauty,11,35.61,15,9.58,7568.06,66703.74,107,1,5,3,4,Medium,0.3,311809.97,0
C0003,Female,49,Chennai,34,Books,13,7.68,7,13.88,5468.63,76524.71,90,1,4,2,1,High,0.13,237251.46,0
C0004,Female,36,Bangalore,34,Beauty,3,38.53,17,8.44,3624.29,28340.45,79,0,1,5,3,Medium,0.67,72444.92,1
C0005,Male,23,Bangalore,48,Grocery,27,42.31,16,1.4,744.23,1123.19,100,0,1,5,3,Low,0.08,3164.33,1
C0006,Male,37,Kolkata,33,Grocery,25,13.91,11,6.35,4982.88,32196.58,155,0,1,9,3,Low,0.06,69951.87,1
C0007,Male,44,Surat,4,Fashion,8,16.34,7,10.04,1922.24,18274.9,118,1,3,11,4,Medium,0.68,6166.66,1
C0008,Female,60,Chennai,38,Sports,3,7.43,11,6.08,6846.05,40017.66,120,1,4,5,4,Low,0.69,164888.14,1
C0009,Female,54,Ahmedabad,30,Grocery,17,16.83,2,14.99,4526.52,68078.23,127,1,1,6,2,Medium,0.2,133015.1,1
C0010,Female,24,Jaipur,53,Grocery,25,30.95,2,6.38,5947.96,39658.29,81,1,5,3,0,Medium,0.96,199602.55,0
C0011,Male,22,Bangalore,52,Books,13,13.7,6,8.42,5485.91,46075.83,142,1,3,2,1,High,0.79,189968.1,1
C0012,Female,28,Pune,46,Sports,10,2.29,3,3.77,2974.45,10516.78,155,0,3,2,3,Low,0.69,41106.92,1
C0013,Female,32,Chennai,20,Beauty,17,16.56,1,2.71,6144.96,17346.04,54,1,5,2,1,Medium,0.75,31170.63,0
C0014,Male,20,Surat,26,Beauty,3,21.49,16,9.86,6793.99,61875.67,88,1,4,1,2,Low,0.41,176044.75,0
